date,year,pred,actual
2020-01-14,2020,0.5364608065175152,-3.7333915717897015
2020-01-15,2020,0.385167930527974,-3.3537382110970237
2020-01-16,2020,1.1566068608165458,-4.40924079281142
2020-01-17,2020,1.4146298603634582,-4.549601374326018
2020-01-20,2020,1.5806244190843775,-5.65315945344016
2020-01-30,2020,2.3880632129289947,-1.1344155969230552
2020-01-31,2020,2.467930719445377,-2.8241598594183737
2020-02-03,2020,3.233159575259871,-0.23954373963005482
2020-02-04,2020,2.9361813726666726,-1.415464973796976
2020-02-05,2020,2.428790866129374,-0.5080519318934051
2020-02-06,2020,2.19676871017423,-3.641545982528893
2020-02-07,2020,2.2335909236444125,-5.469563352883588
2020-02-10,2020,2.2142416974986667,-4.92938093514208
2020-02-11,2020,2.288934680505726,-6.603972551534465
2020-02-12,2020,1.987625002619292,-11.481639076658357
2020-02-13,2020,1.8097315550049031,-14.10228141976868
2020-02-14,2020,1.773530805232618,-17.755444027861234
2020-02-17,2020,1.7568715661827992,-19.754988094539815
2020-02-18,2020,1.930413101529253,-20.862856662128358
2020-02-19,2020,0.8361013597942542,-26.171799259110596
2020-02-20,2020,0.8782304331720473,-21.24503948370545
2020-02-21,2020,1.429509716618274,-23.928087041719614
2020-02-24,2020,1.8110203138411172,-19.49956956602025
2020-02-25,2020,2.929259391155101,-16.424975932022146
2020-02-26,2020,2.7393402423116058,-14.844467456501087
2020-02-27,2020,3.1339201016330707,-14.109334166949306
2020-03-02,2020,2.6808629767699115,-13.795582276826545
2020-03-03,2020,2.012655210044992,-14.298199461144867
2020-03-04,2020,2.050707404095579,-15.17439334290117
2020-03-05,2020,2.1299776219400846,-14.729539845173434
2020-03-06,2020,2.315185519472556,-11.706785399154374
2020-03-09,2020,2.9449161704711964,-7.653466500996576
2020-03-10,2020,2.605491146835319,-8.034777898748956
2020-03-11,2020,2.614657744419976,-6.757452667814112
2020-03-12,2020,2.844598856325018,-3.100077525925138
2020-03-13,2020,2.704796442228576,2.014736095931724
2020-03-16,2020,2.4659261335903957,7.506248861621523
2020-03-17,2020,2.718343125229995,9.91405383473718
2020-03-18,2020,3.589107529144885,14.951939921919323
2020-03-19,2020,3.6767958384078687,21.94787901406925
2020-03-20,2020,3.9805252683413834,11.417800779502896
2020-03-23,2020,3.6352306698659036,15.947190279447865
2020-03-24,2020,3.989056087512703,11.640472041716098
2020-03-25,2020,3.787788471934843,7.284895927836388
2020-03-26,2020,3.62599357563806,8.534092823190598
2020-03-27,2020,3.439209442938581,9.456104391004349
2020-03-30,2020,2.6878693058997567,11.867680641533296
2020-03-31,2020,2.6801727333648264,13.22694750547484
2020-04-01,2020,2.8735254855688175,10.936366562047596
2020-04-06,2020,2.5526038366610346,9.735159501117252
2020-04-07,2020,1.8043804589501211,7.788711724932695
2020-04-08,2020,1.5961232596684418,6.958836869554252
2020-04-09,2020,1.679290363826802,7.727609163757254
2020-04-10,2020,1.791732138931486,8.42373353574315
2020-04-13,2020,1.7132734566271903,7.725844174104535
2020-04-14,2020,1.7824315651504967,5.858255249715949
2020-04-15,2020,1.7802477539375474,3.1938670707298833
2020-04-16,2020,1.699321011806213,4.235370315397469
2020-04-17,2020,0.749273245055903,1.354246091361344
2020-04-20,2020,0.6896943789019565,2.5856002478579443
2020-04-21,2020,1.1019565351627105,6.0201663617931445
2020-04-22,2020,1.0557691292895772,6.796543180173353
2020-04-23,2020,0.40702339285413586,4.289196653454241
2020-04-24,2020,0.4543158324101874,5.062354069057218
2020-04-27,2020,0.5995375024730841,4.068600499466735
2020-04-28,2020,0.8715306060657804,3.7546886509684407
2020-04-29,2020,0.8830721734368648,1.5964211648109794
2020-04-30,2020,0.9644381269807625,-0.45468853198740167
2020-05-04,2020,1.1989873269157463,3.3444398012029364
2020-05-05,2020,1.3269729260252503,3.279190615716021
2020-05-06,2020,0.9729917179427161,5.0596845655398015
2020-05-07,2020,0.787018578402149,5.075293371158307
2020-05-08,2020,0.5781323774978944,5.301878103953417
2020-05-11,2020,0.6440201414744756,5.421283071497451
2020-05-12,2020,0.7218648486497259,6.96394217733034
2020-05-13,2020,0.5963815493074585,7.148205337772784
2020-05-14,2020,1.1371485920721276,7.002118565460336
2020-05-15,2020,0.95814131088657,5.686773457408845
2020-05-18,2020,1.3797718552436045,5.267048707933952
2020-05-19,2020,1.0988747813090576,5.996073823896619
2020-05-20,2020,0.541433702921854,5.746254973505205
2020-05-21,2020,0.9474395189101783,4.905566794539773
2020-05-22,2020,0.7637249475911976,6.832853119233384
2020-05-25,2020,0.3325766661148596,6.4551410242494445
2020-05-26,2020,0.38471670410504194,5.59369149084179
2020-05-27,2020,0.6566203881040453,5.865001734052622
2020-05-28,2020,0.6581336451108001,5.468015449293184
2020-05-29,2020,0.3698058062364774,6.206087280756267
2020-06-01,2020,1.10976308010077,5.635877541515399
2020-06-02,2020,1.0308155382391264,6.085678109046322
2020-06-03,2020,1.9258889264524037,5.203106669870383
2020-06-04,2020,2.0546533405179517,6.3499990784000815
2020-06-05,2020,1.2353540481625966,5.3449657647612225
2020-06-08,2020,1.2570427114821432,4.822175443915411
2020-06-09,2020,1.1088909380140386,4.774209404224927
2020-06-10,2020,1.0930696760827823,3.0163410738419882
2020-06-11,2020,0.9364192023552576,5.8582131925307035
2020-06-12,2020,0.7989903666511153,6.816046278458154
2020-06-15,2020,0.6261263368175776,7.930031681564009
2020-06-16,2020,0.5755813419570961,5.6125799625422745
2020-06-17,2020,0.9471112827659842,5.608955324809983
2020-06-18,2020,0.7699861256611922,5.42251563645999
2020-06-19,2020,0.7358558355122682,7.339396321687008
2020-06-22,2020,0.38143264303528185,7.77970660843883
2020-06-23,2020,0.2622735210406243,6.895066980355424
2020-06-24,2020,1.068513716552668,5.517435962084516
2020-06-29,2020,2.0317616564978547,9.059295030071146
2020-06-30,2020,0.6498543399946874,8.307977461957595
2020-07-01,2020,0.7654673323606187,7.156455121665295
2020-07-02,2020,0.6226500162515215,7.774410129824805
2020-07-03,2020,0.8446539800502938,6.34503189141804
2020-07-06,2020,0.372127193623305,3.2709401074549893
2020-07-07,2020,-0.01796886681299153,5.101724390286266
2020-07-08,2020,-0.1288662873901767,5.19392055506116
2020-07-09,2020,-0.17369690122786632,5.911820935330914
2020-07-10,2020,0.19836081021073962,6.254845250163998
2020-07-13,2020,-0.22507630320703628,5.58847518253196
2020-07-14,2020,-0.10062730878575585,4.678348203498883
2020-07-15,2020,0.10836583471995462,3.831072249515488
2020-07-16,2020,0.6081288453590263,4.979461643364624
2020-07-17,2020,0.5408941896952021,5.039584421042953
2020-07-20,2020,0.8117698163541309,6.41970867071775
2020-07-21,2020,0.19089707211438883,3.8280950671705227
2020-07-22,2020,-0.127984871269116,2.4481952206598434
2020-07-23,2020,0.6817678315928472,-0.40602463216102835
2020-07-24,2020,0.6282028849723226,2.469107707712248
2020-07-27,2020,0.6199953818326428,0.46733871928694715
2020-07-28,2020,0.34289642752059224,1.3627050075754488
2020-07-29,2020,0.4930640766150983,2.3309201760310483
2020-07-30,2020,0.43860545420831965,0.5846928220880176
2020-07-31,2020,0.5733662040254617,0.5057324237256022
2020-08-03,2020,0.4832580068406106,0.6267067209141164
2020-08-04,2020,0.7543563866124856,-0.05224265770358283
2020-08-05,2020,0.8739354591368093,-0.8029807144028789
2020-08-06,2020,0.7499071623358793,-1.204398497696213
2020-08-07,2020,0.7628629845877269,-1.4882058981032675
2020-08-10,2020,0.6217022744446424,-2.2692725298588567
2020-08-11,2020,0.7017888366188427,-0.9125842417053387
2020-08-12,2020,0.5711487670907746,-0.48751613017793405
2020-08-13,2020,0.6743682015016845,-0.5592672016973776
2020-08-14,2020,0.8467247979929396,-0.9340031542437566
